"","Status","Point","Responsible.Agency","Address","Request.Details"
"543","Closed","(37.720515764582, -122.430187480545)","DPW Ops Queue","499 VIENNA ST, SAN FRANCISCO, CA, 94112","Hanging_limb"
"544","Open","(37.7129273477669, -122.472737136927)","DPW BUF Queue","Intersection of BROTHERHOOD WAY and THOMAS MORE WAY","Weeding"
"545","Closed","(37.762067528261, -122.435307041659)","DPW BUF Queue","420 CASTRO ST, SAN FRANCISCO, CA, 94114","Other"
"546","Open","(37.715318803561, -122.445224764387)","DPW Ops Queue","2463 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Lifted_sidewalk_tree_roots"
"547","Closed","(37.7459599448124, -122.429116183974)","DPW Ops Queue","Intersection of SANCHEZ ST and DUNCAN ST","Pruning_request"
"548","Open","(37.7701262176143, -122.438516788218)","DPW Ops Queue","Intersection of BRODERICK ST and WALLER ST","Other"
"549","Open","(37.7853345276213, -122.424686987991)","DPW Ops Queue","Intersection of GEARY BLVD and GOUGH ST","Other"
"550","Closed","(37.7255497803378, -122.472453117254)","DPW Ops Queue","Intersection of JUNIPERO SERRA BLVD and STONECREST DR","Damaged_vandalism"
"551","Open","(37.7561087218187, -122.407602013047)","DPW Ops Queue","Intersection of 22ND ST and HAMPSHIRE ST","Blocking_signs"
"552","Closed","(37.746018935721, -122.413278959756)","DPW Ops Queue","3255 FOLSOM ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"553","Closed","(37.746018935721, -122.413278959756)","DPW Ops Queue","3255 FOLSOM ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"554","Closed","(37.746151485374, -122.413291730574)","DPW Ops Queue","3235 FOLSOM ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"555","Closed","(37.7390616526409, -122.416519606253)","DPW Ops Queue","Intersection of CORTLAND AVE and ANDOVER ST","Other_enter_additional_details_below"
"556","Closed","(37.79912520261, -122.435373098612)","DPW Ops Queue","2118 GREENWICH ST, SAN FRANCISCO, CA, 94123","Other"
"557","Open","(37.748728314657, -122.407182056002)","DPW Ops Queue","2874 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"558","Open","(37.7348569251046, -122.439934233022)","DPW Ops Queue","Intersection of BOSWORTH ST and ELK ST","Other"
"559","Closed","(37.7390115120369, -122.424870078686)","DPW Ops Queue","Intersection of ARLINGTON ST and FAIRMOUNT ST","Other"
"560","Closed","(37.730567532261, -122.431191619004)","DPW Ops Queue","Intersection of ALEMANY BLVD and LYELL ST","Other"
"561","Closed","(37.7889062863302, -122.43383960642)","DPW Ops Queue","Intersection of CALIFORNIA ST and FILLMORE ST","Damaged_vandalism"
"562","Closed","(37.728905152274, -122.440167913361)","DPW Ops Queue","305 SANTA ROSA AVE, SAN FRANCISCO, CA, 94112","Pruning_request"
"563","Closed","(37.781164495126, -122.43747328612)","DPW Ops Queue","1241 SCOTT ST, SAN FRANCISCO, CA, 94115","Property_damage"
"564","Closed","(37.781164495126, -122.43747328612)","DPW Ops Queue","1241 SCOTT ST, SAN FRANCISCO, CA, 94115","Damaged_vandalism"
"565","Closed","(37.727661956123, -122.393506676888)","DPW Ops Queue","5500 3RD ST, SAN FRANCISCO, CA, 94124","Pruning_request"
"566","Closed","(37.789148708525, -122.433729537993)","DPW BUF Queue","2100 FILLMORE ST, SAN FRANCISCO, CA, 94115","Damaged_vandalism"
"567","Open","(37.802784165, -122.4058353)","RPD Park Service Area 1 Queue","Telegraph Hill/Pioneer Park, , SAN FRANCISCO, CA, 94133","Sprinkler_system_issues"
"568","Closed","(37.7896205149022, -122.42049352552)","DPW Ops Queue","Intersection of POLK ST and PINE ST","Other_enter_additional_details_below"
"569","Closed","(37.73024914508, -122.384635496811)","DPW Ops Queue","1261 PALOU AVE, SAN FRANCISCO, CA, 94124","Pruning_request"
"570","Open","(37.7978249421911, -122.422147898449)","DPW BUF Queue","Intersection of POLK ST and GREEN ST","Fallen_tree"
"571","Closed","(37.7840291634987, -122.419364247414)","DPW Ops Queue","Intersection of ELLIS ST and POLK ST","Other"
"572","Closed","(37.752818727482, -122.412605340733)","DPW Ops Queue","3007 24TH ST, SAN FRANCISCO, CA, 94110","Other"
"573","Closed","(37.7157878559156, -122.456079652587)","DPW Ops Queue","Intersection of MINERVA ST and PLYMOUTH AVE","Weeding"
"574","Closed","(37.7812187654484, -122.433973067439)","DPW Ops Queue","Intersection of EDDY ST and STEINER ST","Other"
"575","Closed","(37.7841518790467, -122.434562043227)","DPW Ops Queue","Intersection of GEARY BLVD and STEINER ST","Pruning_request"
"576","Closed","(37.718979991412, -122.401122118892)","DPW Ops Queue","Intersection of GIRARD ST and WARD ST","Weeding"
"577","Closed","(37.776245828053, -122.484488765345)","DPW BUF Queue","2449 BALBOA ST, SAN FRANCISCO, CA, 94121","Other"
"578","Closed","(37.776245828053, -122.484488765345)","DPW BUF Queue","2401 BALBOA ST, SAN FRANCISCO, CA, 94121","Other"
"579","Closed","(37.777350540909, -122.464813292106)","DPW BUF Queue","2449 BALBOA ST, SAN FRANCISCO, CA, 94121","Other"
"580","Closed","(37.737802667331, -122.469713382395)","DPW Ops Queue","328 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"581","Closed","(37.777350540909, -122.464813292106)","DPW BUF Queue","2401 BALBOA ST, SAN FRANCISCO, CA, 94121","Other"
"582","Open","(37.730059181927, -122.4376742061)","DPW Ops Queue","1707 SAN JOSE AVE, SAN FRANCISCO, CA, 94112","Lifted_sidewalk_tree_roots"
"583","Closed","(37.75626374489, -122.425332192488)","DPW Ops Queue","821 DOLORES ST, SAN FRANCISCO, CA, 94110","Other"
"584","Open","(37.7654474943791, -122.413105187419)","DPW Ops Queue","Intersection of HARRISON ST and 16TH ST","Blocking_signs"
"585","Closed","(37.7627527625884, -122.4307266412)","DPW Ops Queue","Intersection of 17TH ST and SANCHEZ ST","Pruning_request"
"586","Closed","(37.734345180239, -122.435799390102)","DPW Ops Queue","76 LIPPARD AVE, SAN FRANCISCO, CA, 94131","Lifted_sidewalk_tree_roots"
"587","Closed","(37.754491700965, -122.414464300009)","Recology_Overflowing","2676 FOLSOM ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"588","Closed","(37.7666735118861, -122.419825155814)","DPW Ops Queue","Intersection of 15TH ST and MISSION ST","Damaged_vandalism"
"589","Closed","(37.7723402652025, -122.408313029642)","DPW Ops Queue","Intersection of MCLEA CT and END","Pruning_request"
"590","Open","(37.789629394296, -122.436539839445)","DPW Ops Queue","2614 SACRAMENTO ST, SAN FRANCISCO, CA, 94115","Hanging_limb"
"591","Closed","(37.722361801608, -122.434078728488)","DPW Ops Queue","209 PERSIA AVE, SAN FRANCISCO, CA, 94112","Hanging_limb"
"592","Closed","(37.7601236107889, -122.470334589374)","DPW Ops Queue","Intersection of KIRKHAM ST and FUNSTON AVE","Pruning_request"
"593","Closed","(37.7661658769648, -122.46001637394)","DPW Ops Queue","Intersection of 3RD AVE and LINCOLN WAY","Other"
"594","Open","(37.7896628337949, -122.442476405568)","DPW Ops Queue","Intersection of BRODERICK ST and CLAY ST","Hanging_limb"
"595","Closed","(37.778066926301, -122.500549978958)","DPW Ops Queue","566 40TH AVE, SAN FRANCISCO, CA, 94121","About_to_fall"
"596","Closed","(37.7190741411907, -122.410989696072)","DPW Ops Queue","Intersection of UNIVERSITY ST and MANSELL ST","Weeding"
"597","Closed","(37.770629442336, -122.428188263912)","DPW Ops Queue","50 WEBSTER ST, SAN FRANCISCO, CA, 94117","Blocking_street_lights"
"598","Closed","(37.7735493217323, -122.43410904822)","DPW Ops Queue","Intersection of OAK ST and PIERCE ST","Pruning_request"
"599","Closed","(37.799093982036, -122.43376777611)","DPW Ops Queue","2075 GREENWICH ST, SAN FRANCISCO, CA, 94123","Pruning_request"
"600","Closed","(37.7323055267836, -122.453419210685)","DPW Ops Queue","Intersection of JOOST AVE and RIDGEWOOD AVE","Blocking_sidewalk"
"601","Closed","(37.7153904262719, -122.399547916115)","DPW BUF Queue","Intersection of SAN BRUNO AVE and CAMPBELL AVE","Weeding"
"602","Closed","(37.7146498249427, -122.40256222183)","DPW Ops Queue","Intersection of CAMPBELL AVE and SOMERSET ST","Weeding"
"603","Closed","(37.760585835543, -122.505076624869)","DPW Ops Queue","4000 JUDAH ST, SAN FRANCISCO, CA, 94122","Damaged_vandalism"
"604","Closed","(37.789352370952, -122.424124568619)","DPW BUF Queue","2917 PINE ST, SAN FRANCISCO, CA, 94115","Empty_tree_basin"
"605","Closed","(37.7333107939253, -122.432973949488)","DPW Ops Queue","Intersection of BOSWORTH ST and ARLINGTON ST","Fallen_tree"
"606","Closed","(37.75626374489, -122.425332192488)","DPW Ops Queue","821 DOLORES ST, SAN FRANCISCO, CA, 94110","Other"
"607","Closed","(37.761578433612, -122.442194279118)","DPW Ops Queue","177 CORBETT AVE, SAN FRANCISCO, CA, 94114","Fallen_tree"
"608","Open","(37.72083874519, -122.404546412471)","DPW Ops Queue","324 MANSELL ST, SAN FRANCISCO, CA, 94134","Other"
"609","Closed","(37.798688651784, -122.429992651497)","DPW Ops Queue","1855 FILBERT ST, SAN FRANCISCO, CA, 94123","Damaged_vandalism"
"610","Closed","(37.758212560308, -122.485488976062)","DPW Ops Queue","1567 27TH AVE, SAN FRANCISCO, CA, 94122","Pruning_request"
"611","Closed","(37.773313112575, -122.419167822769)","DPW Ops Queue","74 12TH ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"612","Closed","(37.797804004369, -122.418945544308)","DPW Ops Queue","1837 HYDE ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"613","Closed","(37.789106526534, -122.447732190182)","DPW Ops Queue","3330 CLAY ST, SAN FRANCISCO, CA, 94118","Other"
"614","Open","(37.7405352575278, -122.458904807478)","DPW Ops Queue","Intersection of MIRALOMA DR and PORTOLA DR","Other"
"615","Closed","(37.761113976752, -122.429302290881)","DPW Ops Queue","3841 18TH ST, SAN FRANCISCO, CA, 94114","Other"
"616","Open","(37.769364319004, -122.443626560106)","DPW Ops Queue","1211 WALLER ST, SAN FRANCISCO, CA, 94117","Other"
"617","Closed","(37.775309456032, -122.423756433055)","DPW Ops Queue","279 HICKORY ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"618","Closed","(37.775974215387, -122.423695891907)","DPW Ops Queue","340 FELL ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"619","Closed","(37.716900890721, -122.443785573525)","DPW Ops Queue","2310 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Lifted_sidewalk_tree_roots"
"620","Closed","(37.786922109584, -122.473439681802)","DPW Ops Queue","29 14TH AVE, SAN FRANCISCO, CA, 94118","Other_enter_additional_details_below"
"621","Closed","(37.753118623949, -122.416530905111)","DPW Ops Queue","1252 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110","Lifted_sidewalk_tree_roots"
"622","Open","(37.738381899326, -122.384570687769)","DPW Ops Queue","1412 HUDSON AVE, SAN FRANCISCO, CA, 94124","Lifted_sidewalk_tree_roots"
"623","Closed","(37.752987749732, -122.405683885949)","DPW Ops Queue","2635 24TH ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"624","Closed","(37.773645677596, -122.497305958205)","DPW Ops Queue","807 37TH AVE, SAN FRANCISCO, CA, 94121","Lifted_sidewalk_tree_roots"
"625","Open","(37.754491700965, -122.414464300009)","DPW Ops Queue","2676 FOLSOM ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"626","Closed","(37.785267304069, -122.434865168032)","DPW Ops Queue","1735 STEINER ST, SAN FRANCISCO, CA, 94115","Other"
"627","Closed","(37.785288399571, -122.415987008924)","DPW Ops Queue","691 OFARRELL ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"628","Closed","(37.752274092809, -122.406607445337)","DPW Ops Queue","1248 POTRERO AVE, SAN FRANCISCO, CA, 94110","Other"
"629","Closed","(37.7345078914292, -122.433879127065)","DPW BUF Queue","Intersection of CHENERY ST and DIAMOND ST","Pruning_request"
"630","Closed","(37.7811767186859, -122.503086504193)","DPW Ops Queue","Intersection of 42ND AVE and CLEMENT ST","Blocking_signs"
"631","Closed","(37.7307328773677, -122.439737348695)","DPW Ops Queue","Intersection of BADEN ST and HEARST AVE","Other"
"632","Closed","(37.758753433798, -122.390609277449)","DPW Ops Queue","932 MINNESOTA ST, SAN FRANCISCO, CA, 94107","Hanging_limb"
"633","Closed","(37.764445392656, -122.426116170823)","DPW Ops Queue","301 DOLORES ST, SAN FRANCISCO, CA, 94110","Other"
"634","Closed","(37.780256044879, -122.405232812967)","DPW Ops Queue","441 TEHAMA ST, SAN FRANCISCO, CA, 94103","Fallen_tree"
"635","Closed","(37.769597865269, -122.430156145948)","DPW Ops Queue","404 DUBOCE AVE, SAN FRANCISCO, CA, 94117","Other_enter_additional_details_below"
"636","Closed","(37.794436800437, -122.421323293334)","DPW Ops Queue","1930 POLK ST, SAN FRANCISCO, CA, 94109","Other"
"637","Open","(37.785433836038, -122.398633942182)","DPW Ops Queue","55 HAWTHORNE ST, SAN FRANCISCO, CA, 94105","Pruning_request"
"638","Closed","(37.7441499670841, -122.413280166251)","DPW Ops Queue","Intersection of FOLSOM ST and RIPLEY ST","Fallen_tree"
"639","Closed","(37.735813297754, -122.426537795948)","DPW Ops Queue","14 RICHLAND AVE, SAN FRANCISCO, CA, 94110","About_to_fall"
"640","Closed","(37.790028342557, -122.441192053461)","DPW BUF Queue","2203 DIVISADERO ST, SAN FRANCISCO, CA, 94115","Remove_garden_debris"
"641","Closed","(37.778018298041, -122.484754869204)","DPW Ops Queue","3405 ANZA ST, SAN FRANCISCO, CA, 94121","Hitting_window_or_building"
"642","Open","(37.72699345736, -122.461242091205)","DPW BSM Queue","136 DORADO TER, SAN FRANCISCO, CA, 94112","Damaged_vandalism"
"643","Closed","(37.7090851648049, -122.461139882182)","DPW BUF Queue","Intersection of WILSON ST and RHINE ST","Weeding"
"644","Closed","(37.759029258089, -122.425843385754)","DPW Ops Queue","Intersection of DOLORES ST and CUMBERLAND ST","Other"
"645","Closed","(37.764918885094, -122.401951257234)","DPW Ops Queue","1830 17TH ST, SAN FRANCISCO, CA, 94103","Backfill_tree_basin"
"646","Closed","(37.7674615413094, -122.433408299467)","DPW Ops Queue","Intersection of 14TH ST and NOE ST","Fallen_tree"
"647","Closed","(37.7779191696466, -122.429849056319)","DPW Ops Queue","Intersection of WEBSTER ST and FULTON ST","Pruning_request"
"648","Closed","(37.767434368931, -122.431894996143)","DPW Ops Queue","827 14TH ST, SAN FRANCISCO, CA, 94114","Fallen_tree"
"649","Closed","(37.744382255981, -122.411026052696)","DPW Ops Queue","179 RIPLEY ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"650","Open","(37.7365026058028, -122.44360212509)","DPW Ops Queue","Intersection of OSHAUGHNESSY BLVD and MALTA DR","Pruning_request"
"651","Closed","(37.756534076224, -122.469704646071)","DPW Ops Queue","638 MORAGA ST, SAN FRANCISCO, CA, 94122","Blocking_sidewalk"
"652","Closed","(37.7519112262695, -122.423988233169)","DPW Ops Queue","Intersection of 24TH ST and FAIR OAKS ST","Fallen_tree"
"653","Closed","(37.73864848298, -122.479823013051)","DPW Ops Queue","2625 23RD AVE, SAN FRANCISCO, CA, 94116","Pruning_request"
"654","Closed","(37.771208358141, -122.412027721504)","DPW Ops Queue","1440 HARRISON ST, SAN FRANCISCO, CA, 94103","Fallen_tree"
"655","Closed","(37.764973483773, -122.430758480902)","DPW Ops Queue","257 SANCHEZ ST, SAN FRANCISCO, CA, 94114","Other"
"656","Open","(37.7930146211539, -122.444843163576)","DPW Ops Queue","Intersection of BROADWAY and BAKER ST","Other"
"657","Closed","(37.744131151069, -122.466754185822)","DPW Ops Queue","529 MAGELLAN AVE, SAN FRANCISCO, CA, 94116","Blocking_street_lights"
"658","Closed","(37.761199375153, -122.419117136529)","DPW Ops Queue","2235 MISSION ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"659","Open","(37.752348489547, -122.408088894255)","DPW Ops Queue","1393 YORK ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"660","Open","(37.7776995594571, -122.404605443009)","DPW Ops Queue","Intersection of 6TH ST and CLARA ST","Damaged_vandalism"
"661","Open","(37.7729129755756, -122.476694309452)","RPD GGP Queue","Intersection of 18TH AVE and FULTON ST","Damaged_vandalism"
"662","Closed","(37.766326432397, -122.433498767207)","DPW Ops Queue","168 NOE ST, SAN FRANCISCO, CA, 94114","Other"
"663","Closed","(37.782855777642, -122.400180433108)","DPW Ops Queue","750 FOLSOM ST, SAN FRANCISCO, CA, 94107","About_to_fall"
"664","Closed","(37.777456297465, -122.457584977425)","DPW Ops Queue","3138 TURK BLVD, SAN FRANCISCO, CA, 94118","Damaged_vandalism"
"665","Closed","(37.799800793563, -122.43802156841)","DPW Ops Queue","2218 LOMBARD ST, SAN FRANCISCO, CA, 94123","Other"
"666","Closed","(37.799519850714, -122.439796399453)","DPW Ops Queue","2322 LOMBARD ST, SAN FRANCISCO, CA, 94123","Other"
"667","Closed","(37.799471475402, -122.440177447278)","DPW Ops Queue","2346 LOMBARD ST, SAN FRANCISCO, CA, 94123","Other"
"668","Closed","(37.799453090907, -122.440563233217)","DPW Ops Queue","2372 LOMBARD ST, SAN FRANCISCO, CA, 94123","Other"
"669","Open","(37.802382139211, -122.413474992401)","DPW Ops Queue","841 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","Lifted_sidewalk_tree_roots"
"670","Closed","(37.7649173279987, -122.421886343791)","DPW Ops Queue","Intersection of 16TH ST and VALENCIA ST","Other"
"671","Open","(37.7987901552957, -122.444318701604)","DPW Ops Queue","Intersection of LOMBARD ST and BRODERICK ST","Lifted_sidewalk_tree_roots"
"672","Closed","(37.746034581, -122.407828717)","DPW Ops Queue","Intersection of FRANCONIA ST and MONTCALM ST","Pruning_request"
"673","Open","(37.7962753474819, -122.418457797894)","DPW Ops Queue","Intersection of HYDE ST and BROADWAY","Fallen_tree"
"674","Closed","(37.784393325243, -122.471041314781)","DPW Ops Queue","205 12TH AVE, SAN FRANCISCO, CA, 94118","Other"
"675","Closed","(37.7272378689135, -122.466681423803)","DPW Ops Queue","Intersection of CERRITOS AVE and OCEAN AVE","Other"
"676","Closed","(37.786761109278, -122.444108679302)","DPW BSM Queue","2926 PINE ST, SAN FRANCISCO, CA, 94115","Lifted_sidewalk_tree_roots"
"677","Closed","(37.784090954382, -122.417525240691)","DPW Ops Queue","664 LARKIN ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"678","Closed","(37.751857687299, -122.420834532889)","DPH - Environmental Health - G","1304 VALENCIA ST, SAN FRANCISCO, CA, 94110","Vacant_lot_weeding"
"679","Open","(37.7857222942818, -122.453255345926)","DPW Ops Queue","Intersection of MAYFAIR DR and SPRUCE ST","Blocking_signs"
"680","Closed","(37.7619543840447, -122.430650183659)","DPW Ops Queue","Intersection of FORD ST and SANCHEZ ST","Pruning_request"
"681","Closed","(37.747092686345, -122.410339398681)","DPW Ops Queue","508 PRECITA AVE, SAN FRANCISCO, CA, 94110","Other"
"682","Closed","(37.7418958255401, -122.449081712613)","DPW Ops Queue","Intersection of MARIETTA DR and ENCLINE CT","Pruning_request"
"683","Closed","(37.802408062466, -122.425114661564)","DPW BUF Queue","2911 VAN NESS AVE, SAN FRANCISCO, CA, 94109","Remove_garden_debris"
"684","Closed","(37.791452531721, -122.422784724207)","DPW Ops Queue","1701 VAN NESS AVE, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"685","Closed","(37.7787522226357, -122.471638653102)","DPW Ops Queue","Intersection of FUNSTON AVE and ANZA ST","Fallen_tree"
"686","Closed","(37.769777879445, -122.413545210459)","DPW Ops Queue","1608 HARRISON ST, SAN FRANCISCO, CA, 94103","Other"
"687","Closed","(37.7776190488903, -122.411870350648)","DPW Ops Queue","Intersection of JULIA ST and MINNA ST","Other"
"688","Closed","(37.774824748193, -122.424136402069)","DPW Ops Queue","Intersection of OCTAVIA ST and OAK ST","Hanging_limb"
"689","Closed","(37.7841518790467, -122.434562043227)","DPW Ops Queue","Intersection of GEARY BLVD and STEINER ST","Pruning_request"
"690","Closed","(37.753612713718, -122.418732532851)","DPW BUF Queue","2702 MISSION ST, SAN FRANCISCO, CA, 94110","Other"
"691","Closed","(37.7725789786474, -122.449143200462)","RPD GGP Queue","Intersection of FELL ST and CLAYTON ST","Fallen_tree"
"692","Closed","(37.745058865329, -122.405868140034)","DPW BUF Queue","19 RUTLEDGE ST, SAN FRANCISCO, CA, 94110","Other"
"693","Closed","(37.79796396023, -122.404515295787)","DPW Ops Queue","443 BROADWAY, SAN FRANCISCO, CA, 94133","About_to_fall"
"694","Closed","(37.739760333369, -122.386402783965)","DPW Ops Queue","1515 GALVEZ AVE, SAN FRANCISCO, CA, 94124","Fallen_tree"
"695","Closed","(37.72641332627, -122.42309076898)","DPW BUF Queue","1809 SILLIMAN ST, SAN FRANCISCO, CA, 94134","Shrubbery_blocking_visibility"
"696","Closed","(37.776682361944, -122.484266749383)","DPW Ops Queue","688 25TH AVE, SAN FRANCISCO, CA, 94121","Fallen_tree"
"697","Closed","(37.731167509957, -122.467734305856)","DPW Ops Queue","329 SANTA ANA AVE, SAN FRANCISCO, CA, 94127","Dead_tree"
"698","Closed","(37.8054965968293, -122.422006887924)","DPW Ops Queue","Intersection of LARKIN ST and NORTH POINT ST","Dead_tree"
"699","Closed","(37.803170198629, -122.410623800998)","DPW Ops Queue","548 LOMBARD ST, SAN FRANCISCO, CA, 94133","Other_enter_additional_details_below"
"700","Closed","(37.763814160036, -122.431723019393)","DPW Ops Queue","28 PROSPER ST, SAN FRANCISCO, CA, 94114","Pruning_request"
"701","Closed","(37.74303271607, -122.426050598249)","DPW Ops Queue","180 DAY ST, SAN FRANCISCO, CA, 94131","Other"
"702","Closed","(37.775870671743, -122.500052162086)","DPW Ops Queue","3830 BALBOA ST, SAN FRANCISCO, CA, 94121","Fallen_tree"
"703","Closed","(37.774824748193, -122.424136402069)","DPW BUF Queue","Intersection of OAK ST and OCTAVIA ST","Sprinkler_system_issues"
"704","Closed","(37.7645074655626, -122.428664987734)","DPW Ops Queue","Intersection of 16TH ST and CHURCH ST","Pruning_request"
"705","Closed","(37.778452218496, -122.475170154707)","DPW BUF Queue","2505 ANZA ST, SAN FRANCISCO, CA, 94118","Backfill_tree_basin"
"706","Closed","(37.759757037488, -122.402884816523)","DPW Ops Queue","2140 20TH ST, SAN FRANCISCO, CA, 94107","Other"
"707","Open","(37.764032513456, -122.469760634195)","DPW Ops Queue","1104 IRVING ST, SAN FRANCISCO, CA, 94122","Other"
"708","Closed","(37.7340611474402, -122.434888534525)","DPW Ops Queue","Intersection of BROMPTON AVE and KERN ST","Damaged_vandalism"
"709","Closed","(37.7789377211207, -122.436884483292)","DPW Ops Queue","Intersection of GOLDEN GATE AVE and SCOTT ST","Blocking_traffic_signal"
"710","Closed","(37.786810054414, -122.453555591914)","DPW Ops Queue","457 SPRUCE ST, SAN FRANCISCO, CA, 94118","Damaged_vandalism"
"711","Closed","(37.752647054459, -122.413071338511)","DPW Ops Queue","1096 TREAT AVE, SAN FRANCISCO, CA, 94110","Other"
"712","Closed","(37.774779023397, -122.423504199014)","DPW Ops Queue","257 OAK ST, SAN FRANCISCO, CA, 94102","Pruning_request"
"713","Open","(37.762223949334, -122.433265913964)","DPW BUF Queue","420 NOE ST, SAN FRANCISCO, CA, 94114","Other"
"714","Closed","(37.7323262214011, -122.448868775677)","DPW Ops Queue","Intersection of FOERSTER ST and JOOST AVE","Damaged_vandalism"
"715","Open","(37.7455341106614, -122.451623935751)","DPW BUF Queue","Intersection of OSHAUGHNESSY BLVD and PORTOLA DR","Shrubbery_blocking_visibility"
"716","Open","(37.7761552551836, -122.487669603663)","DPW Ops Queue","Intersection of 28TH AVE and BALBOA ST","Damaged_vandalism"
"717","Closed","(37.797844005132, -122.410187998386)","DPW Ops Queue","1416 POWELL ST, SAN FRANCISCO, CA, 94133","Other"
"718","Open","(37.7754168579205, -122.434483333177)","DPW Ops Queue","Intersection of HAYES ST and PIERCE ST","Other"
"719","Open","(37.764283760256, -122.423871046267)","DPW Ops Queue","431 GUERRERO ST, SAN FRANCISCO, CA, 94110","Other"
"720","Open","(37.756285883283, -122.441423211448)","DPW Ops Queue","200 ROMAIN ST, SAN FRANCISCO, CA, 94131","Pruning_request"
"721","Closed","(37.764283760256, -122.423871046267)","DPW Ops Queue","431 GUERRERO ST, SAN FRANCISCO, CA, 94110","Other"
"722","Closed","(37.717990745306, -122.466634273014)","DPW Ops Queue","420 SHIELDS ST, SAN FRANCISCO, CA, 94132","Fallen_tree"
"723","Closed","(37.7402399738407, -122.385281600677)","DPW BUF Queue","Intersection of MENDELL ST and FAIRFAX AVE","Weeding"
"724","Open","(37.77145181626, -122.427638922963)","DPW Ops Queue","241 WALLER ST, SAN FRANCISCO, CA, 94102","Other"
"725","Open","(37.786975393142, -122.40968066742)","DPW BUF Queue","340 MASON ST, SAN FRANCISCO, CA, 94102","About_to_fall"
"726","Open","(37.738405426793, -122.434716943686)","DPW Ops Queue","2530 DIAMOND ST, SAN FRANCISCO, CA, 94131","Lifted_sidewalk_tree_roots"
"727","Closed","(37.726884144618, -122.471930537939)","DPW Ops Queue","695 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127","Other"
"728","Closed","(37.783180808265, -122.485138399696)","DPW Ops Queue","333 25TH AVE, SAN FRANCISCO, CA, 94121","Pruning_request"
"729","Closed","(37.779145919004, -122.501357740205)","DPW Ops Queue","7629 GEARY BLVD, SAN FRANCISCO, CA, 94121","Other"
"730","Closed","(37.761097451956, -122.424859774163)","DPW Ops Queue","21 OAKWOOD ST, SAN FRANCISCO, CA, 94110","Other_enter_additional_details_below"
"731","Closed","(37.7524396693588, -122.415172254237)","DPW BUF Queue","Intersection of SHOTWELL ST and 24TH ST","Fallen_tree"
"732","Open","(37.731420127768, -122.438719774869)","DPW - Bureau of Urban Forestry - G","155 MONTEREY BLVD, SAN FRANCISCO, CA, 94131","Pruning_request"
"733","Closed","(37.791959438675, -122.397636283071)","DPW Ops Queue","333 MARKET ST, SAN FRANCISCO, CA, 94105","Other"
"734","Closed","(37.708560084989, -122.432295454845)","DPW BUF Queue","130 CANYON DR, SAN FRANCISCO, CA, 94112","Weeding"
"735","Open","(37.736247431327, -122.387167857756)","DPW Ops Queue","250 CASHMERE ST, SAN FRANCISCO, CA, 94124","Damaged_vandalism"
"736","Closed","(37.800779493444, -122.447419019293)","311 Service Request Queue - Hold","3230 LYON ST, SAN FRANCISCO, CA, 94123","Other"
"737","Closed","(37.800779493444, -122.447419019293)","311 Supervisor Queue","3230 LYON ST, SAN FRANCISCO, CA, 94123","Other"
"738","Closed","(37.792843517596, -122.409178860869)","DPW Ops Queue","850 POWELL ST, SAN FRANCISCO, CA, 94108","Hitting_window_or_building"
"739","Closed","(37.7382878362001, -122.437398085622)","DPW Ops Queue","Intersection of DIAMOND HEIGHTS BLVD and DIAMOND ST","Other_enter_additional_details_below"
"740","Closed","(37.763814160036, -122.431723019393)","DPW Ops Queue","28 PROSPER ST, SAN FRANCISCO, CA, 94114","Other"
"741","Closed","(37.731257052516, -122.451463745229)","DPW BUF Queue","713 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Pruning_request"
"742","Open","(37.776949082282, -122.42897330625)","DPW Ops Queue","755 GROVE ST, SAN FRANCISCO, CA, 94102","Lifted_sidewalk_tree_roots"
"743","Open","(37.7773850017518, -122.501732794572)","DPW Ops Queue","Intersection of 41ST AVE and ANZA ST","Other"
